GEO_ID,NAME,B15014_001E,B15014_001M,B15014_002E,B15014_002M,B15014_003E,B15014_003M,B15014_004E,B15014_004M,B15014_005E,B15014_005M,B15014_006E,B15014_006EA,B15014_006M,B15014_006MA,B15014_007E,B15014_007EA,B15014_007M,B15014_007MA,B15014_008E,B15014_008EA,B15014_008M,B15014_008MA,B15014_009E,B15014_009M,B15014_009MA,B15014_009EA,B15014_010E,B15014_010M,B15014_010MA,B15014_010EA,B15014_011E,B15014_011M,B15014_011MA,B15014_011EA,B15014_012E,B15014_012M,B15014_012MA,B15014_012EA,B15014_013E,B15014_013M,B15014_013MA,B15014_013EA,B15014_014E,B15014_014M,B15014_014MA,B15014_014EA,B15014_015E,B15014_015EA,B15014_015M,B15014_015MA,B15014_016E,B15014_016M,B15014_016MA,B15014_016EA,B15014_017E,B15014_017M,B15014_017MA,B15014_017EA,B15014_018E,B15014_018M,B15014_018MA,B15014_018EA,B15014_019E,B15014_019EA,B15014_019M,B15014_019MA,B15014_020E,B15014_020EA,B15014_020M,B15014_020MA,B15014_021E,B15014_021M,B15014_021MA,B15014_021EA,B15014_022E,B15014_022M,B15014_022MA,B15014_022EA,B15014_023E,B15014_023M,B15014_023MA,B15014_023EA,B15014_024E,B15014_024M,B15014_024MA,B15014_024EA,B15014_025E,B15014_025M,B15014_025MA,B15014_025EA,B15014_026E,B15014_026M,B15014_026MA,B15014_026EA,B15014_027E,B15014_027M,B15014_027MA,B15014_027EA,B15014_028E,B15014_028M,B15014_028MA,B15014_028EA,B15014_029E,B15014_029EA,B15014_029M,B15014_029MA,B15014_030E,B15014_030EA,B15014_030M,B15014_030MA,B15014_031E,B15014_031M,B15014_031MA,B15014_031EA,B15014_032E,B15014_032M,B15014_032MA,B15014_032EA,B15014_033E,B15014_033M,B15014_033MA,B15014_033EA
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!25 to 39 years:,Margin of Error!!Total:!!25 to 39 years:,"Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Computers, Mathematics and Statistics","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Computers, Mathematics and Statistics","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences",Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Physical and Related Sciences,Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Physical and Related Sciences,Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology,Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology,Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology,Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences,Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences,Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences,Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering,Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering,Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering,Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies,Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies,Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies,Estimate!!Total:!!25 to 39 years:!!Science and Engineering Related Fields,Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering Related Fields,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering Related Fields,Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering Related Fields,Estimate!!Total:!!25 to 39 years:!!Business,Margin of Error!!Total:!!25 to 39 years:!!Business,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Business,Annotation of Estimate!!Total:!!25 to 39 years:!!Business,Estimate!!Total:!!25 to 39 years:!!Education,Margin of Error!!Total:!!25 to 39 years:!!Education,Annotation of Margin of Error!!Total:!!25 to 39 years:!!Education,Annotation of Estimate!!Total:!!25 to 39 years:!!Education,"Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other",Estimate!!Total:!!40 to 64 years:,Margin of Error!!Total:!!40 to 64 years:,Annotation of Margin of Error!!Total:!!40 to 64 years:,Annotation of Estimate!!Total:!!40 to 64 years:,"Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences",Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences,Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences,Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences,Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology,Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology,Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology,Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences,Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences,Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences,Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering,Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering,Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering,Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies,Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies,Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies,Estimate!!Total:!!40 to 64 years:!!Science and Engineering Related Fields,Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering Related Fields,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering Related Fields,Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering Related Fields,Estimate!!Total:!!40 to 64 years:!!Business,Margin of Error!!Total:!!40 to 64 years:!!Business,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Business,Annotation of Estimate!!Total:!!40 to 64 years:!!Business,Estimate!!Total:!!40 to 64 years:!!Education,Margin of Error!!Total:!!40 to 64 years:!!Education,Annotation of Margin of Error!!Total:!!40 to 64 years:!!Education,Annotation of Estimate!!Total:!!40 to 64 years:!!Education,"Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other"
0400000US01,Alabama,63221,986,54366,1493,64515,12010,53005,3844,42097,14162,48988,null,6409,null,53549,null,6065,null,84357,null,6280,null,46004,17049,null,null,63414,3326,null,null,59018,2476,null,null,47996,3019,null,null,45636,4654,null,null,49751,5142,null,null,41332,null,3573,null,44332,6685,null,null,48237,3620,null,null,73389,2520,null,null,96701,null,9779,null,88662,null,12790,null,106531,10248,null,null,52705,3739,null,null,77969,8883,null,null,121098,10289,null,null,90810,23418,null,null,76527,3126,null,null,77864,4291,null,null,54386,1951,null,null,58962,null,6532,null,60475,null,5744,null,52006,10496,null,null,61407,7455,null,null,65411,6991,null,null
0400000US02,Alaska,77172,3871,65259,5884,76786,59902,64688,21800,67957,15293,70578,null,7386,null,64250,null,36444,null,92910,null,25823,null,71236,36262,null,null,62289,13284,null,null,73420,15267,null,null,63555,11865,null,null,59733,14625,null,null,63558,20098,null,null,38038,null,15687,null,56281,16123,null,null,62025,14819,null,null,87147,4102,null,null,124397,null,110344,null,94307,null,14420,null,109046,52013,null,null,98380,22999,null,null,86453,6452,null,null,117857,24608,null,null,64972,64190,null,null,86509,10824,null,null,96877,9919,null,null,76609,6901,null,null,67159,null,12785,null,85326,null,19676,null,73177,24145,null,null,74711,19791,null,null,100095,17191,null,null
0400000US04,Arizona,69316,1264,60743,802,82391,6307,54925,5378,62316,9343,53281,null,3091,null,59144,null,5642,null,86615,null,4397,null,54175,7580,null,null,62915,2123,null,null,66060,1771,null,null,51036,1451,null,null,52459,5485,null,null,56760,8183,null,null,47658,null,6892,null,55536,7543,null,null,56087,2853,null,null,80644,1405,null,null,117225,null,7550,null,93501,null,8614,null,93739,15529,null,null,67604,5834,null,null,82172,7785,null,null,120834,4991,null,null,73327,13125,null,null,83798,2848,null,null,86946,2992,null,null,54937,1878,null,null,64934,null,7639,null,64986,null,6569,null,60163,7524,null,null,71927,12720,null,null,69160,3705,null,null
0400000US05,Arkansas,60923,1150,52604,1616,93027,29551,57000,5330,61495,15767,42749,null,8863,null,49192,null,4181,null,72789,null,17201,null,50461,14143,null,null,61354,2049,null,null,59681,3489,null,null,46818,2582,null,null,50121,11570,null,null,42657,6293,null,null,43675,null,6740,null,45923,2843,null,null,45047,2636,null,null,69933,2415,null,null,89702,null,24986,null,85770,null,16812,null,72046,15556,null,null,55728,6149,null,null,81793,3812,null,null,104738,15524,null,null,76776,33928,null,null,79754,4407,null,null,77926,4062,null,null,54877,2811,null,null,63482,null,8005,null,55118,null,8394,null,43452,10355,null,null,61903,7969,null,null,61912,6654,null,null
0400000US06,California,87531,714,76005,652,106581,3074,74495,1749,80828,5352,63246,null,1776,null,75405,null,1999,null,116465,null,3760,null,74142,4052,null,null,80368,1890,null,null,78489,2271,null,null,55837,2839,null,null,63706,2175,null,null,63722,1947,null,null,58721,null,3211,null,70378,2530,null,null,60909,1119,null,null,101321,427,null,null,129979,null,5080,null,116952,null,4767,null,123363,3630,null,null,88363,3896,null,null,102271,1489,null,null,151269,2155,null,null,95903,10422,null,null,104359,1840,null,null,97828,2847,null,null,78393,4163,null,null,87539,null,3478,null,90663,null,3388,null,71882,2357,null,null,88498,3890,null,null,85601,2476,null,null
0400000US08,Colorado,76397,956,67009,1019,90114,9397,59924,2755,67253,5175,54295,null,2802,null,73201,null,5375,null,93554,null,2985,null,58763,6444,null,null,67357,3244,null,null,80460,2566,null,null,48184,3741,null,null,51585,3992,null,null,62406,4753,null,null,51710,null,3552,null,63735,2369,null,null,62558,3110,null,null,87199,1493,null,null,110380,null,8724,null,90590,null,6071,null,101280,9952,null,null,74786,4554,null,null,84790,4943,null,null,130810,5160,null,null,77683,26625,null,null,86948,7104,null,null,96432,5097,null,null,61720,4178,null,null,70394,null,4054,null,77303,null,7757,null,51384,3789,null,null,80622,5180,null,null,74509,3793,null,null
0400000US09,Connecticut,84028,1759,71512,1495,80949,4758,75037,6454,69743,16109,61932,null,5896,null,67955,null,3817,null,94186,null,4177,null,71408,5944,null,null,71259,4355,null,null,80851,2671,null,null,63127,3586,null,null,58192,6757,null,null,66632,7338,null,null,54400,null,8283,null,70716,9711,null,null,64746,3692,null,null,98064,2240,null,null,128024,null,12898,null,104142,null,4894,null,113223,18408,null,null,89325,8625,null,null,110741,14733,null,null,128907,8689,null,null,101982,43742,null,null,93671,5254,null,null,104699,2734,null,null,80080,4578,null,null,78191,null,7927,null,103036,null,10324,null,68587,6990,null,null,99504,6351,null,null,72042,3508,null,null
0400000US10,Delaware,72374,3165,65284,3873,45437,11551,70784,16578,70041,8013,66239,null,15059,null,53167,null,6474,null,87564,null,7518,null,59192,8611,null,null,75410,5866,null,null,77211,9570,null,null,60253,4334,null,null,55543,19155,null,null,75703,20553,null,null,40318,null,15038,null,36346,1917,null,null,58868,4555,null,null,81181,4376,null,null,82813,null,14697,null,125887,null,23492,null,120261,35792,null,null,90667,8926,null,null,98194,29403,null,null,122360,10523,null,null,42356,7813,null,null,82406,12997,null,null,79513,11198,null,null,72930,10858,null,null,65679,null,25132,null,69045,null,15100,null,67586,35521,null,null,83490,18378,null,null,66667,4143,null,null
0400000US11,District of Columbia,100828,2301,89341,3087,104594,12476,93784,13206,80874,22033,71834,null,8180,null,94380,null,4210,null,112447,null,18322,null,82696,17197,null,null,77615,10618,null,null,102628,18373,null,null,70485,4469,null,null,86784,5515,null,null,97090,12481,null,null,73475,null,11050,null,77293,10092,null,null,76995,2818,null,null,132269,6728,null,null,142406,null,31100,null,135595,null,21840,null,177198,17277,null,null,125269,40486,null,null,150633,12429,null,null,156367,7999,null,null,113079,95542,null,null,112641,22577,null,null,124417,16372,null,null,109663,20555,null,null,116930,null,23422,null,133868,null,5141,null,91267,20360,null,null,101822,21773,null,null,130018,47246,null,null
0400000US12,Florida,63276,516,56340,1126,69246,4673,60461,3087,55710,2920,49606,null,2358,null,58817,null,4175,null,74965,null,2596,null,47287,5432,null,null,61423,1872,null,null,64042,1497,null,null,49144,839,null,null,49076,2727,null,null,50296,7524,null,null,41474,null,2460,null,50589,2896,null,null,52219,968,null,null,70410,1002,null,null,98041,null,4613,null,91298,null,5533,null,87031,7891,null,null,61399,2863,null,null,72351,3345,null,null,100094,6444,null,null,68862,13792,null,null,75771,3025,null,null,73358,1927,null,null,53417,842,null,null,60397,null,4226,null,64420,null,2958,null,55155,3063,null,null,64878,3150,null,null,65448,3005,null,null
0400000US13,Georgia,71622,741,61933,871,81935,3988,57465,3814,66599,7133,51760,null,2613,null,63114,null,4708,null,85794,null,2715,null,56121,5055,null,null,61759,2346,null,null,71468,2249,null,null,50986,1765,null,null,55442,5366,null,null,57486,6410,null,null,53142,null,5089,null,55546,5998,null,null,50482,3680,null,null,80027,1071,null,null,104178,null,5559,null,92077,null,5487,null,94609,13055,null,null,64909,3342,null,null,81069,5827,null,null,127809,4041,null,null,76950,28216,null,null,83030,3060,null,null,85724,2438,null,null,64018,1559,null,null,62067,null,6327,null,69656,null,6025,null,62448,2421,null,null,77977,5827,null,null,69827,5768,null,null
0400000US15,Hawaii,70886,1795,60249,2335,71478,7088,64471,4692,59975,22593,57539,null,16142,null,50493,null,8398,null,82768,null,9656,null,61250,18585,null,null,74637,11431,null,null,59547,6127,null,null,52107,4141,null,null,42890,12399,null,null,54066,5396,null,null,36076,null,3528,null,57996,12498,null,null,59718,9473,null,null,79944,2607,null,null,88484,null,13549,null,91444,null,11598,null,101885,16936,null,null,74465,6167,null,null,83229,7354,null,null,113998,10718,null,null,64951,83055,null,null,94633,9778,null,null,77205,6683,null,null,67859,7296,null,null,74127,null,15351,null,68952,null,17798,null,45453,19770,null,null,63960,4370,null,null,71827,11785,null,null
0400000US16,Idaho,63254,1248,54167,1667,85377,15818,51716,2466,55170,14415,41253,null,4352,null,56165,null,11553,null,87357,null,6222,null,45313,30981,null,null,54877,9966,null,null,64502,7681,null,null,44899,4353,null,null,45885,6211,null,null,40931,12927,null,null,41177,null,4932,null,41541,30026,null,null,49459,7394,null,null,69210,2609,null,null,83656,null,17392,null,67961,null,9135,null,96384,18127,null,null,58893,10722,null,null,75158,13745,null,null,112179,13201,null,null,61077,8602,null,null,65749,7296,null,null,88970,8383,null,null,57575,4436,null,null,51434,null,4282,null,68448,null,14090,null,50681,10099,null,null,64673,24289,null,null,62186,2906,null,null
0400000US17,Illinois,76327,690,67514,1035,84254,4333,65515,3503,65166,3995,57901,null,5964,null,71816,null,4689,null,90621,null,4123,null,62458,6849,null,null,66607,1950,null,null,80191,2365,null,null,55945,2130,null,null,55834,5175,null,null,61603,4215,null,null,49499,null,4122,null,63547,3473,null,null,61619,1657,null,null,85834,979,null,null,103159,null,2796,null,96621,null,5192,null,100790,5132,null,null,75047,5270,null,null,97584,5344,null,null,123674,4590,null,null,62232,11803,null,null,84395,2677,null,null,93436,2377,null,null,65040,1942,null,null,81223,null,8624,null,76391,null,4577,null,61545,4543,null,null,84957,4425,null,null,73253,3914,null,null
0400000US18,Indiana,64474,858,55574,1435,68874,4220,58560,5513,61168,4637,50682,null,2938,null,50487,null,4350,null,83197,null,3294,null,51798,11599,null,null,63279,2433,null,null,66513,2375,null,null,47086,967,null,null,42324,5818,null,null,47718,4743,null,null,43216,null,3021,null,52590,6237,null,null,51481,1603,null,null,73396,1620,null,null,101124,null,7784,null,90621,null,12332,null,90460,12587,null,null,55652,6723,null,null,73828,6877,null,null,110806,4684,null,null,80162,21397,null,null,81449,2726,null,null,79386,3587,null,null,57452,1911,null,null,60773,null,6097,null,57896,null,6014,null,46633,3609,null,null,61480,5013,null,null,65950,3214,null,null
0400000US19,Iowa,65295,1074,57861,1850,63927,16305,56998,4496,50347,10596,51775,null,3208,null,57877,null,8887,null,80929,null,3115,null,50161,18457,null,null,62547,3169,null,null,69840,3735,null,null,50126,2021,null,null,44113,4368,null,null,50498,7920,null,null,46087,null,6131,null,50004,4110,null,null,52522,3274,null,null,72564,1317,null,null,100457,null,14391,null,78860,null,7284,null,97242,26393,null,null,68088,4588,null,null,69303,9976,null,null,110510,8155,null,null,50875,34852,null,null,77655,6198,null,null,81109,3171,null,null,60969,1360,null,null,58627,null,8580,null,66597,null,4806,null,47291,9465,null,null,64297,9920,null,null,59409,5184,null,null
0400000US20,Kansas,64195,964,58345,1511,76914,8457,55368,6322,63001,12944,49307,null,5548,null,63670,null,11116,null,84264,null,7550,null,49167,24410,null,null,61241,2622,null,null,63845,2173,null,null,50387,1502,null,null,40478,5575,null,null,50444,6439,null,null,48100,null,7462,null,52878,7780,null,null,52744,2517,null,null,72166,2153,null,null,94701,null,11765,null,83777,null,4380,null,80574,13464,null,null,56686,3080,null,null,82588,8418,null,null,115873,8350,null,null,60407,52105,null,null,76834,2863,null,null,81373,4565,null,null,54286,1807,null,null,60249,null,4986,null,70429,null,8058,null,56004,3290,null,null,70603,6599,null,null,61693,8900,null,null
